"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.30803374128973e-170,5.29090773257024,0.347,0.009,3.28695798848697e-166,"11","Serpinb1b"
0,5.10455015367722,0.604,0.028,0,"11","Slc26a7"
0,5.03833585398208,0.617,0.025,0,"11","Col23a1"
0,4.90166927080663,0.634,0.033,0,"11","Sema3d"
0,4.77884831882525,0.782,0.045,0,"11","Car12"
3.63608419989015e-179,10.035707026581,0.343,0.002,9.13711598590395e-175,"12","Iglc1"
0,9.69595524699632,0.599,0.002,0,"12","Fcmr"
0,9.59375074089054,0.713,0.003,0,"12","Iglc2"
3.87399759455744e-244,9.20832786415247,0.444,0.002,9.73496855536339e-240,"12","Fcer2a"
0,8.9088411198482,0.677,0.005,0,"12","Ighd"
0,8.88814453894803,0.979,0.007,0,"12","Cd79a"
0,8.76819875904603,0.933,0.013,0,"12","Igkc"
0,8.54598038896211,0.732,0.003,0,"12","Ms4a1"
4.24896455423472e-322,8.3574108208025,0.558,0.003,1.06772230283364e-317,"12","Pax5"
1.40440126377892e-171,8.33247081488526,0.338,0.002,3.52911993575006e-167,"12","Cd19"
0,10.3172592240747,0.755,0.007,0,"13","Car6"
0,10.2029223512468,0.817,0.009,0,"13","Scgb2b27"
0,9.79654152123068,0.732,0.008,0,"13","Scgb1b27"
1.45678694070915e-162,9.07172670077747,0.319,0.001,3.66075990330801e-158,"13","Lmod2"
0,8.73113813990289,0.602,0.007,0,"13","Fbp1"
0,8.20066447912827,0.624,0.013,0,"13","Cck"
2.88695728439864e-137,7.29313544410167,0.28,0.004,7.25463495996535e-133,"13","1500002F19Rik"
0,6.71561956991943,0.938,0.092,0,"13","Wfdc18"
0,6.59708731623874,0.871,0.116,0,"13","Pglyrp1"
0,6.40878227907388,0.943,0.101,0,"13","Ltf"
6.02202335335805e-134,10.92388052524,0.272,0,1.51327424846534e-129,"14","Map3k7cl"
7.81684163219648e-235,10.8417999184745,0.446,0.001,1.96429413375465e-230,"14","Higd1b"
2.03459000817027e-145,10.6944672105131,0.292,0,5.11272123153107e-141,"14","Gm13861"
1.75941930297531e-287,10.0551715650756,0.528,0.001,4.42124476644666e-283,"14","Rgs4"
4.66402452866047e-234,10.0519118648364,0.449,0.002,1.17202272380709e-229,"14","Pln"
0,9.96083134600159,0.87,0.005,0,"14","Myh11"
1.56233815853601e-127,9.59967489513542,0.259,0.001,3.92599955858514e-123,"14","Des"
9.69587122877156e-169,8.66098410791111,0.338,0.001,2.43647548107801e-164,"14","Slc38a11"
0,8.633499513653,0.706,0.004,0,"14","Gucy1b1"
0,8.39991936258831,0.795,0.014,0,"14","Mustn1"
0,10.1772695284713,0.961,0.004,0,"15","Ascl3"
0,10.0645170147381,0.973,0.003,0,"15","Smbd1"
